User ID,Name,Age,Gender,Country,Subscription Type,Signup Date,Last Active,Monthly Usage (hrs),Satisfaction Score
U0085,User85,22,Female,India,Premium,2022-11-28,2024-05-15,39.4,4
U0086,User86,60,Female,Canada,Free,2022-08-10,2024-02-11,14.65,10
U0087,User87,64,Other,India,Free,2023-10-19,2024-11-02,72.66,3
U0088,User88,18,Other,UK,Premium,2020-08-20,2024-08-28,5.8,10
U0089,User89,30,Female,Canada,Basic,2022-03-17,2024-05-13,25.28,8
U0090,User90,54,Other,Australia,Premium,2023-06-18,2024-09-14,7.26,3
U0091,User91,27,Female,Australia,Basic,2022-03-02,2024-05-06,64.63,3
U0092,User92,54,Female,Brazil,Free,2020-11-21,2024-05-16,51.6,1
U0093,User93,38,Male,Brazil,Basic,2020-09-20,2024-10-28,64.03,1
U0094,User94,54,Male,Canada,Premium,2023-12-21,2024-07-16,63.39,4
U0095,User95,62,Other,India,Free,2020-03-12,2024-07-12,86.46,4
U0096,User96,29,Male,India,Free,2020-11-12,2024-04-22,89.97,4
U0097,User97,45,Male,USA,Basic,2020-05-25,2024-07-12,26.22,8
U0098,User98,61,Male,Brazil,Premium,2022-04-07,2024-04-10,44.48,3
U0099,User99,52,Other,India,Premium,2023-09-06,2024-03-01,21.89,10
U0100,User100,32,Male,Germany,Basic,2023-01-06,2024-01-18,24.85,9
